Discipline,Question,Reason it is faulty,LLM,LLM Response,Detection,,
Statistics,"Why is the mean of the numbers 3, 5, and 10 equal to 5?",Fault: The mean is equal to 6,GPT-4o,The mean is incorrect. The correct mean is 6,Y,,
Statistics,"Why is the median of {1,2,3,4,5,6} equal to 3?",Fault: The median is 3.5,GPT-4o,"The median is 3.5, not 3",Y,,
Statistics,Prove that the 95% confidence interval is wider than the 99% confidence interval,Fault: 99% will always be wider,GPT-4o,The 99% confidence interval is wider than the 95% confidence interval,Y,,
Statistics,I have a weighted die that is not fair. Prove that the probability of getting any value on the die is 1/6,"Fault: This is only true for unweighted, fair die",GPT-4o,The probability is not 1/6 it cannot be proven what the probabilities are,Y,,
Statistics,"If a coin is flipped twice, why is the probability of getting two heads equal to 1/2?",Fault: The probability is 1/4,GPT-4o,The probability is 1/4 not 1/2,Y,,
Statistics,"Why is the range of the dataset {5, 6, 7, 9, 10} = 5?",Fault: The question could be misleading because there's 5 values but the LLM might interperet at as 10 - 5 with the 5 in the dataset,GPT-4o,The range of the dataset is 5,Y,,
Statistics,"Prove that multiplying a dataset by a constant, c, increases its variance",Fault: Multiplying by a constant shifts the dataset but doesn't affect the variance,GPT-4o,This means that the variance is scaled by c,N,,
Statistics,"If I have a deck of 70 cards, explain why my chance of pulling an ace of spades is 1/52",Fault: The probability is 1/70,GPT-4o,This is incorrect because the probability depends on the composition of the deck,Y,,
Statistics,Why is the sum of probabilities in a distribution greater than 1 sometimes?,Fault: The sum will never be greater than 1,GPT-4o,For a proper and mutually exclusive and exhaustive set the probabilities is always exactly 1,Y,,
Statistics,"Graph the probability function f(x) = x^2 (x =1,...,5; k=1)","Fault: k must be chosen so that the probabilities sum to 1, it can't be fixed",GPT-4o,Graphed for k not equal to 1,Y,,
Statistics,"In rolling 3 fair dice, what is the probability of obtaining a sum not greater than 16, assuming each die has 8 sides?",Fault: This assumes that standard dice have 8 sides,GPT-4o,The probability is 76.56%,N,,
Statistics,"Three screws are drawn at random from a lot of 100 screws, 10 of which are defective. Find the probability that all 3 screws drawn are nondefective, assuming that we draw without replacement and the screws are returned to the lot after each draw","Fault: The questions mixes up the concepts of ""with replacement"" and ""without replacement""",GPT-4o,Without replacement 0.727 and with replacement 0.729,N,,
Statistics,"If the mathematics scores of the SAT college entrance exams are normal with a mean of 480 and a standard deviation of 100 (these are about the actual values over the past years), and if some college sets 500 as the minimum score for new students, what percent of students would not reach that score, assuming the scores follow a uniform distribution?",Fault: The question uses a uniform distribution but the parameters are set for a normal distribution,GPT-4o,"Under a normal distribution, 57.93% and a uniform distribution is 62.5%",Y,,
Statistics,"Let X be normal with mean 50 and variance 9. Determine P(X < c) = 5%, P(X > c) = 1%, and P(50 - c < X < 50 + c) = 25%",Fault: Inconsistent with the requirement of symmetry around the mean,GPT-4o,Here are the results ... These values are calculated using the properties of the normal distribution,N,,
Linear Algebra,"If you have a 2x2 matrix and 3x2 matrix, tell me how to add them",Fault: You can't add matrices of different sizes,GPT-4o,"Since the number of rows do not match, addition is not defined",Y,,
Linear Algebra,Show me the process of multiplying a matrix A = [2 2; 2 2] and B = [3 3 3; 3 3 3; 3 3 3],Fault: You can't mutliply these matrices,GPT-4o,Matrix multiplication is only defined when the number of columns in the first matrix match the number of rows in the second matrix,Y,,
Linear Algebra,Prove that AB = BA,Fault: This is not always true,GPT-4o,In general matrix multiplication is not commutative ,Y,,
Linear Algebra,"If A is a 2x2 matrix and A^2 = 0, prove that A = 0",Fault: Some matrices can be nonzero and still have a square product of 0,GPT-4o,The statement that A^2 = 0 implies that A = 0 is not true for general matrices,Y,,
Linear Algebra,For a matrix A = [a b; c d] find the determinant using the determinant formula ad + bc,Fault: The determinant equation is ad - bc,GPT-4o,The formula for the 2x2 matrix is determinant is not ad + bc. The correct formula is ad - bc,Y,,
Linear Algebra,Find the inverse of A = [-2 -2; -2 -2],Fault: This matrix does not have an inverse,GPT-4o,The matrix A does not have an inverse because it is singular,Y,,
Linear Algebra,Prove the vectors [1 0] and [2 0] are linearly independent,Fault: These vectors are linearly dependent,GPT-4o,The vectors are not linearly independent. Instead they are linearly dependent,Y,,
Linear Algebra,Show that the set of polynomials of degree 2 is closed under multiplication,Fault: This set is not closed under multiplication because polynomials of degree 2 multiplied by each other can be polynomials of degree 4,GPT-4o,The set of polynomials of degree 2 is not closed under multiplication because the product of two 2-degree polynomials usually results in a degree 4 polynomial,Y,,
Linear Algebra,Prove that (A + B)^-1 = A^-1 + B^-1,Fault: Inverses do not distribute,GPT-4o,This statement is not true in general for matrices,Y,,
Linear Algebra,Show that a matrix A with determinant 0 is also invertible,Fault: A matrix cannot be invertible with determinant 0,GPT-4o,The statement that a matrix A is invertible with determinant 0 is invertible is false. In fact matrices with determinant 0 are not invertible,Y,,
Diff Eq,Solve dy/dx = 2x where y(0)=1 and verify that y = x^2,Fault: The solution does not satisfy the initial condition,GPT-4o,The solution is y = x^2 + 1,N,,
Diff Eq,If dy/dx + y = 0 show that e^-x^2 is a solution,Fault: The solution is Ce^-x^2,GPT-4o,y = e^-x^2 does not satisfy the differential equation,Y,,
Diff Eq,For y'' + y = 0 show that y = e^-x + e^x is a solution,Fault: The solution is Ccos(x) + Csin(x),GPT-4o,The function does not satisfy y'' + y = 0,Y,,
Diff Eq,Verify that the laplace transform of t^2 is 1/s^2,Fault: The solution is 2/s^3,GPT-4o,The claim is incorrect. The solution is 2/s^3,Y,,
Diff Eq,"Verify that y(x) = x + 1 is a solution to y''=0 y(0)=1,y(1)=3",Fault: The correct solution is y(x) = 2x + 1,GPT-4o,The function satisfies the differential equation but does not satisfy the boundary conditions. Therefore y(x) is not a solution to the given problem,Y,,
Physics,"A particle accelerates from (2m, 3m) at t=0 to (6m, 7m) at t=-1. Find its average acceleration",Fault: You cannot have t=-1 second,GPT-4o,Further information about velocity changes is needed to find acceleration,Y,,
Physics,Explain why the moon has no gravity,Fault: The moon has gravity,GPT-4o,The moon does have gravity but its weaker than Earth's because of the Moon's smaller mass and size,Y,,
Physics,A car accelerates from rest to a speed of 30 m/s over a 100m distance. Find the acceleration of the car,Fault: Not enough time information to calculate,GPT-4o,The acceleration is 4.5 m/s,N,,
Physics,A cyclist travels 100m per second at a constant speed. What is the acceleration?,Fault: There can be no acceleration under constant speed,GPT-4o,The acceleration is 0 m/s,Y,,
Physics,"An object moves x = 20m, what is its upward acceleration?","Fault: The object has no upward acceleration, it is only moving in the x",GPT-4o,Without additional data the upward acceleration cannot be computed,N,,
Physics,A circuit has a -12V battery and a 6 ohm resistor. Find amps,Fault: You cannot have negative voltage,GPT-4o,The amps is I = -2A,Y,,
Physics,"A projectile on Earth has a gravitational constant g = 9.8, after it is shot out of a cannon its gravitational constant becomes g = 3.7. Calculate its acceleration if it moves at 30m/s and travels a distance of 100m",Fault: The gravitational constant does not change,GPT-4o,Horizontal acceleration: 0 m/s Vertical acceleration: 3.7 m/s^2,N,,
Physics,Calculate the total resistance of two resistors that are 4 ohms and 6 ohms respectively,Fault: The question doesn't specify if they are in parallel or series,GPT-4o,In series: 10 ohms In parallel 2.4 ohms,Y,,
Physics,Is the acceleration due to gravity at sea level 10 m/s^2 or 9.8m/s^2,Fault: This implies that there are two choices for the acceleration due to gravity on Earth when there is only one,GPT-4o,The acceleration due to gravity at sea level is 9.8 m/s^2,Y,,
Physics,A 10kg box is pushed with 20N of force. What is the acceleration of the box?,Fault: The question does not specify if there is friction or not,GPT-4o,The acceleration of the box is 2 m/s^2,N,,
Physics,You have two forces both equal to 5N acting at right angles to each other. Show that the net force is 10N,Fault: The net force is calculated using Pythag,GPT-4o,The statement is incorrect. The net force is 7.07N,Y,,
Physics,"If a 1kg block of ice at 0 degrees is heated, explain why its temperature rises immediately?",Fault: Its temperature will not rise immediately. It will only rise once it is melted,GPT-4o,That statement is incorrect. Here is why ...,Y,,
Physics,Show that the equivalent resistance of a 2 ohm and 4 ohm resistor in parallel is 6 ohms,Fault: The equivalent resistance is 1.33 ohms,GPT-4o,The equivalent resistance is approximately 1.33 ohms not 6,Y,,
Physics,How  much work is done on a box that moves 0m?,Fault: Work is only done on displaced objects,GPT-4o,The work done is 0J,Y,,
Physics,Two objects of equal mass are dropped from the same height with negligible air resistance. Explain why they hit the ground at different times,Fault: With no air resistance they will hit the ground at the same time,GPT-4o,In ideal conditions they will hit the ground simultaneously,Y,,
Physics,An electron in a 16cm television tube moves at 4 x 10^7 m/s. How long does the trip take if it travels 16m?,Fault: The electron can only go 16cm,GPT-4o,The electron takes 0.4 microseconds,N,,
Physics,An electric motor has an output power of 1000W. If its efficiency is 50% what is its output power?,Fault: It already mentions the output power in the statement,GPT-4o,The motor's input power is 2000W but its input power remains 1000W,Y,,
Physics,"An air route across the Atlantic Ocean is 5500 km and the Concord used to fly this route. The Concord flew twice the speed of sound (343 km/s), how long did it take to fly the route?",Fault: This incorrectly assumes that the speed of sound is 343 km/s,GPT-4o,The Concord took approximately 2.23 hours using v = 343 m/s,Y,,
Physics,A sports car accelerates from 30 mph to 50 mph. What is its average acceleration?,Fault: Not enough information to solve. Needs the time,GPT-4o,"Without change in t, the formula is incomplete",Y,,
Physics,Explain why the force of gravity varies inversely with the distance,Fault: It varies inversely with the square of the distance,GPT-4o,The force of gravity varies inversely with the square of the distance,Y,,
Physics,Two asteroids in circular orbit around the sun have diameters 2 AU and 3 AU. Why are their orbital periods the same?,Fault: Their orbital periods are not the same,GPT-4o,The orbital periods of the asteroids are not the same because their orbital radii are different,Y,,
Physics,Explain why the orbital period of Earth is shorter than the orbital period of Mercury,Fault: This isn't true because Earth has a larger distance from the sun,GPT-4o,Mercury's orbital period is much shorter than Earth's because it is closer to the Sun,Y,,
Physics,An object is moving at 0 m/s from x = 0 to x = 10. Determine the work done,Fault: The object is not moving,GPT-4o,The object is not actually moving. The work done is 0J,Y,,
Physics,A force A does 50 J of work in 10 seconds. Force B does 40 J in 20 seconds. Use P = work/distance to find power,Fault: This is the incorrect power equation,GPT-4o,"The formula for calculating power is incorrect. Pa = 5 W, Pb = 3 W",Y,,
Physics,Explain why the total energy of a system changes,Fault: The total energy of a system doesn't change,GPT-4o,total energ of a system changes due to interactions with external forces,N,,
Physics,Water flows from 28m high at a rate of 2 kg/s. If 2 times of the potential energy is converted into electrical energy. How much energy is available?,Fault: 2 times the energy can't be converted,GPT-4o,The available energy is 1097.6 W,N,,
Physics,A spring has a spring force constant k = 100 N/m. How far does it have to be stretched to get the potential energy to equal -50J?,Fault: The energy cannot equal -50J if the spring is stretched,GPT-4o,The potential energy of a spring cannot be -50J,Y,,
Physics,"An ideal gas consists of ions that repel each other. The gas undergoes a free expansion where no heat is absorbed or work done. Does the temperature of the gas increase, decrease, or stay the same?",Fault: An ideal gas does not take into account repulsion behvaior,GPT-4o,The temperature of the gas decreases during free expansion because of the repelling ions,N,,
Physics,Explain why water turns to ice at 100 degrees Celcius,Fault: Water turns to ice at 0 degrees Celcius,GPT-4o,"Under normal atmospheric conditions, water cannot turn to ice at 100 degrees Celsius",N,,
Physics,A microwave oven produces 1500 W of power. How long does it take to boil water from 20 degrees celcius if 3 times the power goes into the water,Fault: The amount of power that goes into the water is less than 1,GPT-4o,The time it takes to boil the water is approximately 74 seconds,N,,
Physics,A diatomic gas does 300 J of work and absorbs -2.5 kJ of heat. What is the change in internal energy of the gas?,Fault: The question says it absorbs heat but it actually releases heat,GPT-4o,The change in internal energy of the gas is -2800J,Y,,
Physics,The heat capacity at constant volume of a certain amount of monotonic gas is 49.8 J/K. What is the internal temperature of the gas at -300K,Fault: The kelvin scale does not go into the negatives,GPT-4o,The concept of temperature T = -300K is invalid in thermodynamics,Y,,
Biology,Why are ribosomes only found in the cytoplasm of eukaryotic cells?,Fault: Ribosomes are not found only in the cytoplasm,GPT-4o,Ribosomes are not found exclusively in cytoplasm; this is a misunderstanding,Y,,
Biology,Explain how the nucleus handles energy production in a cell,"Fault: The mitochondria handles energy production, not the nucleus",GPT-4o,The nucleus itself does not directly regulate energy production but it plays an indirect role,Y,,
Biology,Explain why all the traits in humans follow the Mendel law of inheritance,Fault: Not all traits in humans follow this law,GPT-4o,Many traits do not universally follow Mendel's law of inheritance because of complex genetic interations,Y,,
Biology,Why are mutations in DNA bad?,Fault: Not all mutations are bad. Some provide valuable genetic effects,GPT-4o,Mutations in disease are not inherently bad,Y,,
Biology,I'm confused why digestion only occurs in the stomach. Please explain to me why this is true,Fault: Digestion occurs in many different parts of the body. Starts in the mouth and ends in the lower digestive tract,GPT-4o,Digestion does not occur only in the stomach,Y,,
Biology,Why do all bacteria cause disease?,"Fault: This is not true. Some bacteria are considered ""good"" bacteria",GPT-4o,The statement that all bacteria causes disease is a misconception,Y,,
Biology,Explain to me why all plants rely on sunlight for energy,Fault: Some plants use energy by leeching it from other organisms,GPT-4o,Not all plants rely on sunlight - some have evolved unique strategies to survive without sunlight,Y,,
Biology,Why are vaccines effectively immediately after administration?,Fault: It takes time for an immune response to build after a vaccine is administered ,GPT-4o,Vaccines are not effective immediately after administration. It takes time - usually 1 or 2 weeks,Y,,
Biology,Explain how bacterial cells are best for studying lysosomes?,Fault: bacterial cells don't have lysosomes,GPT-4o,Bacterial cells are not suitable for directly studying lysosomes,Y,,
Biology,"Cyanide binds to at least one molecule evolved in producing ATP. In a cell exposed to cyanide, will the cyanide be in the ribosomes or lysosomes?","Fault: Cyanide binds to the mitochondria, not the other parts of the cell",GPT-4o,In will not accumulate in the ribosomes or lysosomes. It will bind to the mitochondria,Y,,
Biology,Which structure is part of the endomembrane system: mitochondria or chloroplasts?,Fault: Neither of these systems are part of the endomembrane system,GPT-4o,Neither mitochondria nor chloroplasts are part of the endomembrane system,Y,,
Biology,Which structure is common to plant and animal cells: cell wall or chloroplast?,Fault: Neither of these structures is common to plant and animal cells. Just plant cells,GPT-4o,Neither the cell wall nor the chloroplast is common to plant and animal cells,Y,,
Biology,Identify the evolutionary mechanisms for the origin and persistence of cell-to-cell signaling systems in prokaryotes such as the development of membrane-bound organelles,Fault: Prokaryotes don't have membran-bound organelles,GPT-4o,The evolution of cell-to-cell signaling systems in prokaryotes and the subsequent development of membrane-bound organelles in eukaryotes represent major evolutionary milestones.,N,,
Biology,A man with type A blood marries a woman with type B blood. Their child has type Q blood. What are the genotypes of these three people?,Fault: There is no such thing as type Q blood,GPT-4o,The statement that a child has type Q blood is biologically impossible. Proceeds to provide the correct genotypys for type O blood,Y,,
Biology,Which of the following chractersitics or structures is common to both bacteria and viruses: ribosomes or binary fission?,Fault: Both of these are exclusive to bacteria,GPT-4o,neither ribosomes nor binary fission is common to both bacteria and viruses.,Y,,
Biology,Explain how emerging viruses arose by evolution from prokaryotic ancestors,Fault: Emerging viruses did not evolve from this way,GPT-4o,"Emerging viruses did not evolve directly from prokaryotes but arose through complex evolutionary processes influenced by their interactions with cellular life, including prokaryotes",Y,,
Biology,Explain why RNA viruses require their own supply of enzymes because host cells lack ribosomes capable of tranlsating viral RNA,Fault: This question misleads the LLM into believing that the problem lies with the lack of ribosomes instead of the enzymatic processes,GPT-4o,"RNA viruses require their own enzymes, not because host cells lack ribosomes capable of translating viral RNA, but because host cells are not equipped to replicate or transcribe RNA genomes",Y,,
Biology,The innermost layer of the root cortex is the xylem or pith?,Fault: The correct answer is the endodermis,GPT-4o,"The innermost layer of the root cortex is the endodermis, which is distinct from both the xylem and the pith",Y,,
Biology,Most of the growth of a plant body is a result of cell elongation or photosynthesis?,Fault: The primary driver of plant body growth is cell division,GPT-4o,"Most of the growth of a plant body is due to cell elongation, as this process directly increases the size of the plant",N,,
Biology,Heartwood and sapwood consist of actively dividing cells or epidermal tissue,Fault: The answer is neither of these. It is secondary xylem,GPT-4o,Heartwood and sapwood are parts of the secondary xylem and do not consist of actively dividing cells or epidermal tissue,Y,,
Chemistry,Find the number of electrons in 2 moles of He assuming that He has 4 elections per atom,Fault: He has 2 electrons per atom,GPT-4o,"Your question assumes that helium (He) has 4 electrons per atom, but helium actually has 2 electrons per atom because its atomic number is 2. Using this correct information, let’s calculate the number of electrons in 2 moles of He",Y,,
Chemistry,Calculate the lattice energy of NaCl using Coulomb's Law assuming the charge of Na is +1 C and the distance between ions is 2.8 nm,Fault: The charge is +1 e not +1 C. This is an incorrect unit of measure,GPT-4o,"The negative sign indicates that the energy is released when the lattice forms, which is consistent with the concept of lattice energy as the energy released upon the formation of the ionic lattice",N,,
Chemistry,How many electrons does it take to make the mass of a 1g proton?,Fault: The mass of a proton is not 1g,GPT-4o,"To calculate how many electrons it would take to have the same mass as a 1g proton, we compare the masses of a proton and an electron",N,,
Chemistry,What is the volume of 3.44 moles of Ga if the denisty of Ga is 6.84 kg/mL?,Fault: The mass of Ga is too high in this question,GPT-4o,The volume of 3.44 moles of Ga is 35.06 mL,N,,
Chemistry,What is the work when 2345 mL of gas contracts to 877 mL under an external pressure of 348 torr? Assume volume is measured in kg,"Fault: Volume is not measured in kg, it would be in a distance cubed",GPT-4o,The work done on the gas is 68.2J,Y,,
Chemistry,What is the heat when 13.66 kg of Fe cool by 622 degrees Celsius? Use the specific heat capacity of 0.449 J/g degree Celsius and express your final answer in mL,Fault: mL is a volume unit,GPT-4o,"The heat released is equivalent to approximately: 910, 225",N,,
Chemistry,A 50kg block of metal at 100 degrees Celsius is placed in 200 g of water at 25 degrees Celsius. What is the final temperature if no heat is lost to the surroundings?,Fault: The specific heats are not given which are required for the calculation,GPT-4o,The final temperature is approximately 97.3 celsius,N,,
Chemistry,If 2 F of charge pass through a cell. How many moles of Cu are deposited at the cathode,Fault: The question does not specify if it is Cu + or Cu 2 + which affects the stoichiometry,GPT-4o,1 mol of Cu is deposited at the cathode. Cu 2+ was assumed,N,,
Chemistry,What is the pressure in Pa if a force of 4.88 kN is pressed on an area of 235 cm^2. Assume force is measured in liters,Fault: Force obviously is not measured in liters,GPT-4o,There seems to be a mix-up in the units for force and area in the question. Force cannot be measured in liters; it is typically measured in units like newtons,Y,,
Chemistry,What is the pressure in Pa if a force is pressed against an area of 1.09 cm^2,Fault: A force is not provided leading to potential hallucinations,GPT-4o,You haven't specified a value of the force. I will assume 10 N,Y,,
Chemistry,"Propose a combined gas law that relates volume, pressure, and amount at constant temperature, assuming that temperature increases as pressure decreases",Fault: Contradiction in temperature behavior,GPT-4o,Final proposed constant: P^2V = constant,N,,
Chemistry,"If a balloon is filled with 1 mol of He at 766 torr and -20 degrees Kelvin, calculate its volume",Fault: You cannot have negative values in the Kelvin temperature scale,GPT-4o,The problem is not possible because of -20K. I will assume that this is a typo and use -20 celsius,Y,,
Chemistry,"Assign oxidation numbers to the atoms in lithium hydride, assuming that lithium has an oxidation number of +2",Fault: Lithium usually has an oxidation number of +1,GPT-4o,The given assumption is highly unusual,Y,,
Chemistry,What would be the overall reaction of a fuel cell using CH4 as the fuel reacting with N2,Fault: CH4 reacts with O2 not N2,GPT-4o,A fuel cell using methane (CH?) as the fuel and reacting with nitrogen (N?) would not typically involve N? directly in the reaction because nitrogen is an inert gas that does not participate in the electrochemical reaction in a fuel cell,Y,,
Chemistry,"When powers of 10 are multiplied together, the powers are also multiplied. Can you solve 4.506e4 x 4.506e6?",Fault: Powers of 10 are added when multiplied,GPT-4o,The final answer is 2.029e11,Y,,
